Age,Grade Level,Hours on Social Media,Platforms,Device,Reasons,GPA,Affects Performance,Effect Details,Academic Use Frequency,Academic Use Type,Check Frequency,Overall Effect,Would Perform Better,Reduced Usage,Improvement Noted,Life Impact,Likes,Dislikes,Comments
16-18,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,Educational purposes,3.5-4.0,Yes,Distracts me from studying,Frequently,Seeking help from peers/experts,Once or twice,Neutral,No,No,Not sure,Unsure,It connects the whole world,Improper content,Enough lead firm start show enjoy nation on.
16-18,College/University,3-4 hours,"Instagram, WhatsApp",Smartphone,News and updates,3.0-3.5,Yes,"Helps me with research and study groups, Distracts me from studying",Occasionally,"Seeking help from peers/experts, Joining study groups, Watching educational videos, Participating in online discussions",Once or twice,Mostly negative,Yes,Yes,No,Mostly negative,Wide range of resources,It causes procrastination,Enjoy everything reason while human then.
16-18,College/University,3-4 hours,"Instagram, WhatsApp",Smartphone,Socializing with friends,2.5-3.0,Yes,"Helps me with research and study groups, Causes me to procrastinate",Occasionally,Sharing academic resources,Once or twice,Mostly positive,Yes,Not sure,Not sure,Neutral,Wide range of resources,Information insecurity and rumors,Voice different nation ahead education member but.
16-18,College/University,More than 6 hours,Instagram,Smartphone,"News and updates, Professional networking, Entertainment",3.0-3.5,No,"Motivates me through educational content, Causes me to procrastinate, Helps me with research and study groups",Frequently,"Watching educational videos, Participating in online discussions, Sharing academic resources, Seeking help from peers/experts",Every hour,Neutral,Not sure,Not sure,No,Unsure,Awareness,It causes procrastination,Positive truth brother vote year environment.
Over 21,College/University,1-2 hours,YouTube,Laptop,"Professional networking, Entertainment, News and updates",2.5-3.0,Yes,"Causes me to procrastinate, Motivates me through educational content",Frequently,"Watching educational videos, Joining study groups, Participating in online discussions",Every hour,Mostly negative,Yes,Not sure,Yes,Mostly positive,Socializing with friends,Addiction,Itself light hear player.
19-21,College/University,5-6 hours,"WhatsApp, YouTube",Smartphone,"Socializing with friends, News and updates",2.0-2.5,Yes,"Causes me to procrastinate, Helps me with research and study groups, Motivates me through educational content",Frequently,"Watching educational videos, Seeking help from peers/experts, Joining study groups, Sharing academic resources",Once or twice,Neutral,Yes,Yes,No,Mostly positive,Entertainment,Distraction,Live talk safe great tonight.
Over 21,College/University,1-2 hours,"Instagram, WhatsApp",Smartphone,"Professional networking, Entertainment, Educational purposes",2.5-3.0,Yes,"Motivates me through educational content, Causes me to procrastinate, Distracts me from studying",Always,Sharing academic resources,Every hour,Unsure,Yes,No,Not sure,Mostly positive,It connects the whole world,Improper content,Maintain spend operation safe.
16-18,College/University,1-2 hours,"Instagram, Snapchat, WhatsApp",Tablet,"Educational purposes, News and updates",3.0-3.5,Yes,Causes me to procrastinate,Occasionally,"Participating in online discussions, Joining study groups, Sharing academic resources, Seeking help from peers/experts",Once or twice,Mostly positive,No,Yes,Not sure,Neutral,Socializing with friends,Information insecurity and rumors,Experience others cut time.
Over 21,College/University,1-2 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Educational purposes, News and updates",3.0-3.5,No,"Motivates me through educational content, Distracts me from studying, Helps me with research and study groups",Frequently,"Watching educational videos, Joining study groups, Participating in online discussions",Once or twice,Mostly negative,Not sure,No,Yes,Neutral,Socializing with friends,Information insecurity and rumors,Property treat all save stop.
16-18,College/University,3-4 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Socializing with friends, Entertainment, News and updates",3.5-4.0,Yes,Motivates me through educational content,Always,"Participating in online discussions, Sharing academic resources, Joining study groups",Once or twice,Mostly positive,Yes,Yes,Not sure,Mostly negative,Educational information,Distraction,Field where Congress Democrat number baby.
16-18,College/University,3-4 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"News and updates, Professional networking",2.5-3.0,No,"Distracts me from studying, Helps me with research and study groups",Frequently,"Joining study groups, Watching educational videos, Seeking help from peers/experts",Multiple times per hour,Mostly positive,Not sure,Not sure,No,Mostly negative,Wide range of resources,Information insecurity and rumors,Hospital long east couple child commercial record.
